母券商,買張,賣張,買賣超,均買價,均賣價
第一澎湖,2,0,2,173.39,
致和東門,2,0,2,175,
c兆豐,41,40,1,178.5,173
永興,34,33,1,179.44,185
a元富,30,29,1,176.95,175.99
Z兆豐,19,18,1,177.83,177.18
F康和仁愛,18,17,1,178.52,180.03
i宏遠光隆,13,12,1,178.15,174.62
M兆豐,8,7,1,178.22,175.43
P統一,8,7,1,177.78,177.71
Y台新,8,7,1,179.37,176.64
致和金華,8,7,1,179.57,175.66
A元富緯城,7,6,1,175.1,178.48
A凱基,7,6,1,177.34,176.32
C合庫自強,7,6,1,176.17,174.75
K美好富順,6,5,1,177.88,175.7
W元大德芳,6,5,1,174.4,176.66
g兆豐南門,5,4,1,174.55,175.65
k兆豐,5,4,1,175.61,175.75
A統一,4,3,1,177,174.83
D光和,4,3,1,178.12,176
K元大基孝,4,3,1,175.92,178.15
L兆豐天母,4,3,1,176.75,174.17
台新三民,4,3,1,174.35,176.09
A土銀,3,2,1,181.67,173.09
G國票,3,2,1,173.52,173
J兆豐公益,3,2,1,182.44,176.25
z元大大統,3,2,1,173.37,173.31
B元大林森,2,1,1,175.33,173
L宏遠,2,1,1,176.21,173.58
U康和,2,1,1,176.71,174.88
V國票天祥,2,1,1,177.04,174.5
r國票,2,1,1,179.42,175
x群益延平,2,1,1,174.33,175.4
光和溪湖,2,1,1,178.5,174
康和延平,2,1,1,181.66,185.5
福邦,2,1,1,179.75,174
聯邦富強,2,1,1,182.28,173.5
G合庫,1,0,1,173,
N兆豐埔墘,1,0,1,173.5,179
W國票,1,0,1,177.29,
c元富烏日,1,0,1,173.01,
m國票,1,0,1,176.99,
元富林園,1,0,1,178.5,
光和花壇,1,0,1,173,173
寶盛,1,0,1,175.5,
K國泰,73,73,0,178.01,175.54
m元富成功,19,19,0,178.21,175.93
元大雙和,19,19,0,175.55,176.92
元大斗信,13,13,0,176.98,176.33
A中信,12,12,0,177.81,184.51
D群益市府,11,11,0,175.73,177.41
P國票九鼎,10,10,0,173.85,175.65
b兆豐,10,10,0,179.05,173.2
u國票長城,8,8,0,173.56,176
Z統一,7,7,0,177.43,180.21
凱基南崁,7,7,0,176.11,178.14
K元大學甲,6,6,0,183.75,174.53
R群益北高,6,6,0,177.17,177.27
G元大,5,5,0,177.7,174.53
I統一,4,4,0,178.07,173.5
群益西松,4,4,0,179.12,174.75
9A9j永豐,3,3,0,180.21,173.37
A美好,3,3,0,178.33,177.67
B元富,3,3,0,175.46,177
V元大長庚,3,3,0,175.94,174.83
9A9b永豐,2,2,0,178.01,180.49
E企銀,2,2,0,175.5,175.25
B土銀,1,1,0,179,179.5
E國票南崁,1,1,0,177.25,172.5
V凱基,1,1,0,178.18,174
W統一金門,1,1,0,178.42,172.5
X元大三民,1,1,0,180.72,179.5
f元大,1,1,0,172.02,173.5
r元大屏南,1,1,0,173.78,182
永興水湳,1,1,0,183.91,178
C台企三民,0,0,0,173,
P群益天母,0,0,0,175.75,
X康和,0,0,0,,174
X群益,0,0,0,176.4,
H國票,19,20,-1,176,175.72
C元大六合,16,17,-1,182.29,175.46
c群益,15,16,-1,176.56,180.01
9A9L永豐,12,13,-1,173.92,175.12
群益海山,11,12,-1,177.32,174.12
N富邦青埔,10,11,-1,176.53,174.73
Z元大潮州,10,11,-1,181.65,176.91
彰銀,10,11,-1,178.17,175.5
H凱基,9,10,-1,177.31,176.3
J富邦,8,9,-1,176.01,176.17
B致和崇德,7,8,-1,177.5,172.88
w兆豐,6,7,-1,178,174.14
凱基埔墘,6,7,-1,176.83,180.19
C玉山,5,6,-1,174.25,176.91
S康和南崁,5,6,-1,182.63,176.75
X宏遠新化,4,5,-1,176.7,185.5
A光和,3,4,-1,176.5,178.38
B台企建成,3,4,-1,175.33,176.62
H元富,3,4,-1,178.87,179.5
v元富,3,4,-1,176.02,177.01
F第一稻埕,2,3,-1,175.49,182.29
G富邦,2,3,-1,180.75,175.56
安泰,2,3,-1,175.5,177
B兆豐,1,2,-1,173,173.5
X國票,1,2,-1,172,174.68
s群益丹鳳,1,2,-1,184.43,172.75
土銀和平,1,2,-1,173,179.5
土銀玉里,1,2,-1,184,172.5
永全,1,2,-1,176.68,173
F企銀北高,0,1,-1,,176
W凱基,0,1,-1,172.64,173
光和田中,0,1,-1,,179.5
日茂南投,0,1,-1,,179
D第一,57,59,-2,178.24,177.88
9A98永豐,41,43,-2,177.11,179.15
j元大,27,29,-2,176.3,177.03
M元富,23,25,-2,179.54,172.8
F合庫西台,17,19,-2,177,173.53
9A9c永豐,14,16,-2,179.56,177.03
9A9D永豐,10,12,-2,179.34,176.58
F元大福營,10,12,-2,178.64,173.69
D富邦,9,11,-2,175.36,178.58
P富邦,9,11,-2,175.8,176.76
凱基市政,9,11,-2,176.64,176.12
9A9P永豐,6,8,-2,176.27,175.87
i元大西螺,6,8,-2,176.81,177.5
i群益,6,8,-2,177.95,178
s兆豐,6,8,-2,180.33,176.25
凱基竹科,6,8,-2,176,175.77
9A9M永豐南投,4,6,-2,174.09,178.66
元大復北,4,6,-2,174.46,175.21
N元大金門,3,5,-2,173.38,177.89
U群益崇德,2,4,-2,172.88,175.73
Y元富埔里,2,4,-2,181.09,173.56
凱基內埔,2,4,-2,178.5,173
高橋內壢,2,4,-2,177.67,179.15
C富邦北港,1,3,-2,177.5,175.5
華南內壢,1,3,-2,176.49,179.67
光和和美,0,2,-2,,173.5
致和府前,0,2,-2,176,177.5
凱基城中,74,77,-3,173.45,183.31
凱基科園,61,64,-3,175.99,175.91
企銀,47,50,-3,178.32,178.46
B第一,26,29,-3,177.95,175.41
j元大仁愛,19,22,-3,180.14,175.7
X元富草屯,16,19,-3,177.15,178.8
9A97永豐,12,15,-3,174.66,176.79
E玉山城中,11,14,-3,177.58,177.89
e元大佳里,10,13,-3,178.09,177.15
華南長虹,10,13,-3,179.69,177.03
9A9i永豐,9,12,-3,178.7,174.7
H台新,9,12,-3,175.92,176.75
n元大旗山,9,12,-3,178.79,179.37
a元大歸仁,8,11,-3,176.09,177.24
V元大民雄,7,10,-3,181.21,178.04
9A9K永豐,6,9,-3,177.29,173.49
j第一安和,4,7,-3,181.01,179.05
C土銀白河,2,5,-3,180.3,184.5
凱基和平,2,5,-3,178.77,180.6
