券商,買張,賣張,買賣超,均買價,均賣價
920H凱基基隆,8,23,-15,205.62,204.75
9891元大永和,8,23,-15,204.56,204.84
884A玉山士林,7,22,-15,202.35,205.09
9822元大學府,7,22,-15,204.79,205.36
963L富邦豐原,6,21,-15,203.58,206.51
9884元大斗信,6,21,-15,204.26,204.32
6460大昌,5,20,-15,205.22,204.68
9B2y元富花蓮,4,19,-15,205.25,205.47
9858元大龍潭,72,88,-16,201.84,207.34
9A9N永豐桃盛,24,40,-16,206.71,205.66
9871元大忠孝,17,33,-16,205.33,203.84
920A凱基板橋,16,32,-16,202.95,205.19
700p兆豐復興,15,31,-16,203.73,205.77
1029合庫鳳山,12,28,-16,205.04,206.03
5856統一台中,12,28,-16,205.33,204.96
981V元大民雄,9,25,-16,206.89,203.59
9363華南彰化,8,24,-16,206.44,204.86
700K兆豐新營,6,22,-16,203.51,204.23
9B2G元富新竹,3,19,-16,204.69,206.14
980l元大虎尾,21,38,-17,203.01,204.96
9A9H永豐新莊,15,32,-17,205.0,205.31
9814元大大益,12,29,-17,205.22,204.86
700r兆豐寶成,9,26,-17,205.62,204.76
980C元大斗六,8,25,-17,205.04,204.46
9A9K永豐三重,7,24,-17,207.71,204.0
9223凱基豐中,5,22,-17,205.4,205.3
918F群益新店,3,20,-17,206.8,203.64
9A9J永豐板新,35,53,-18,203.51,205.01
884M玉山數位,15,33,-18,204.57,206.02
9856元大花蓮,14,32,-18,203.15,204.31
913Y群益館前,13,31,-18,205.58,205.35
585J統一三重,11,29,-18,204.3,204.45
9239凱基市政,11,29,-18,204.11,205.96
918z群益宜蘭,7,25,-18,206.21,207.12
1045臺銀新竹,4,22,-18,203.66,205.63
8711陽信石牌,4,22,-18,205.38,203.89
918u群益瑞豐,4,22,-18,205.86,205.89
845U康和台北,3,21,-18,204.83,205.71
6452永全八德,2,20,-18,201.75,204.02
9B2M元富彰化,2,20,-18,203.0,205.29
981S元大崇德,29,48,-19,205.19,205.21
9A9U永豐中正,29,48,-19,204.77,206.9
700C兆豐來福,23,42,-19,204.0,205.83
962J富邦三峽,15,34,-19,204.5,206.71
913g群益三重,8,27,-19,204.32,205.81
9300華南永昌,69,89,-20,204.44,204.88
9A92永豐萬盛,25,45,-20,206.31,204.01
884J玉山大里,15,35,-20,204.7,205.27
9869元大新盛,15,35,-20,203.67,205.7
9323華南小港,11,31,-20,202.67,205.27
9256凱基南崁,5,25,-20,202.98,206.45
989G元大大同,3,23,-20,204.52,204.7
9227凱基城中,2,22,-20,205.72,205.4
1021合庫台中,25,46,-21,205.21,205.7
8565新光桃園,25,46,-21,203.23,205.56
9285凱基中壢,23,44,-21,204.71,204.97
9853元大南屯,22,43,-21,203.69,203.99
7005兆豐中港,11,32,-21,203.41,205.68
9206凱基高雄,11,32,-21,203.69,205.56
845J康和高雄,9,30,-21,206.82,203.82
913N群益土城,9,30,-21,205.03,205.35
585H統一桃園,6,27,-21,204.16,204.83
9621富邦花蓮,6,27,-21,202.75,204.86
9627富邦內湖,6,27,-21,203.75,205.13
700Z兆豐高雄,4,25,-21,205.13,205.1
9833元大敦化,4,25,-21,203.31,201.57
9108群益海山,36,58,-22,204.13,205.45
8156台新三民,23,45,-22,204.03,205.33
6163中信託永,21,43,-22,206.1,205.6
8151台新建北,18,40,-22,205.28,205.4
9327華南斗六,16,38,-22,203.71,203.0
989S元大鹿港,14,36,-22,204.05,205.32
9200凱基,13,35,-22,206.48,204.7
961C富邦南京,7,29,-22,204.03,204.05
9B2Z元富安南,5,27,-22,203.0,205.26
989Y元大基隆,2,24,-22,205.99,204.14
104C臺銀高雄,38,61,-23,205.07,204.4
9B2a元富松德,33,56,-23,202.05,203.11
962E富邦樹林,17,40,-23,205.94,204.49
9859元大經國,16,39,-23,205.5,205.48
989Q元大汐止,11,34,-23,205.32,204.3
921E凱基三峽,7,30,-23,204.23,203.34
585S統一宜蘭,5,28,-23,204.4,207.62
1110企銀,3,26,-23,206.33,206.51
9636富邦中壢,61,85,-24,204.78,205.42
8580聯邦,36,60,-24,205.09,204.88
961F富邦公益,22,46,-24,204.1,203.82
9202凱基中港,20,44,-24,204.15,206.49
981a元大歸仁,18,42,-24,203.53,205.28
616K中信託高,12,36,-24,205.19,204.39
8841玉山雙和,12,36,-24,205.89,203.93
9333華南長虹,8,32,-24,202.87,203.91
9A9S永豐南京,7,31,-24,203.15,205.35
779W國票彰化,6,30,-24,204.7,206.9
8881國泰高雄,54,79,-25,203.89,205.06
9184群益台中,32,57,-25,205.2,204.5
5384第一台南,17,42,-25,204.98,205.48
986K元大基孝,13,38,-25,204.8,204.49
9343華南頭份,9,34,-25,205.11,206.28
9899元大淡水,7,32,-25,204.88,205.61
9272凱基竹科,29,55,-26,205.29,205.9
8849玉山景美,26,52,-26,204.38,206.03
700a兆豐忠孝,13,39,-26,205.44,204.81
981m元大前金,13,39,-26,204.78,205.01
984K元大館前,58,85,-27,204.84,204.21
9326華南南京,25,52,-27,205.97,205.34
9B2g元富中原,7,34,-27,203.14,205.01
9B22元富新店,2,29,-27,206.75,204.82
9659富邦高雄,20,48,-28,203.53,204.51
815Y台新新營,16,44,-28,203.22,204.07
988B元大桃園,14,42,-28,205.66,205.66
9655富邦板橋,52,81,-29,203.49,205.77
9A9W永豐市政,50,79,-29,204.2,204.82
8159台新台南,42,71,-29,205.53,205.35
1260宏遠,5,34,-29,204.9,206.48
9B2A元富緯城,5,34,-29,205.33,204.54
9131群益民權,4,33,-29,205.8,205.91
8884國泰台南,61,91,-30,204.7,204.04
9B2b元富板橋,34,64,-30,201.78,205.1
6162中信託忠,49,80,-31,204.91,204.47
7750北城,5,36,-31,201.6,206.1
104D臺銀金山,2,33,-31,205.69,206.1
6114中銀員林,18,50,-32,204.42,205.41
9211凱基台南,9,41,-32,205.65,205.78
920F凱基站前,67,100,-33,204.38,204.96
9233凱基長庚,40,73,-33,202.24,204.32
9A98永豐大園,33,66,-33,204.29,206.39
9812元大台中,10,43,-33,205.01,203.61
9896元大台南,8,41,-33,203.57,206.03
989d元大北屯,8,41,-33,205.76,205.75
7001兆豐嘉義,7,40,-33,204.66,203.48
962C富邦竹科,5,38,-33,204.38,204.61
884F玉山桃園,76,110,-34,206.09,205.37
989E元大草屯,22,56,-34,205.13,204.67
989C元大板橋,20,54,-34,205.14,204.55
6464大昌新店,11,45,-34,204.82,205.21
5321高橋龍潭,12,47,-35,206.04,204.66
8581聯邦高雄,0,35,-35,,207.36
9654富邦永和,32,68,-36,204.07,205.95
5261美好蘆洲,6,42,-36,203.58,205.47
538Y第一中壢,6,42,-36,203.7,204.82
8847玉山台南,58,95,-37,204.68,204.1
9A9a永豐苓雅,17,54,-37,206.0,205.68
9893元大大天,16,53,-37,205.33,205.18
9604富邦陽明,48,86,-38,204.53,205.25
9A9x永豐桃園,27,65,-38,202.55,204.95
9889元大員林,20,58,-38,206.17,201.18
6110台中銀,18,56,-38,201.2,204.29
9B2Q元富敦南,12,51,-39,204.79,206.77
2180亞東,2,41,-39,205.77,205.8
8150台新,200,241,-41,205.16,204.63
9234凱基竹北,10,51,-41,204.36,206.67
8842玉山新莊,16,58,-42,203.85,204.79
104A臺銀臺中,28,71,-43,205.27,206.15
8843玉山高雄,11,54,-43,205.14,205.73
961Z富邦永康,4,47,-43,204.75,201.51
989A元大北投,21,66,-45,205.14,201.56
989L元大成功,14,59,-45,206.24,204.67
8561新光台中,109,156,-47,204.81,205.61
884E玉山城中,2,49,-47,204.25,204.73
9266凱基新豐,9,57,-48,206.88,205.51
6381光和溪湖,1,49,-48,205.0,204.72
9663富邦敦南,18,67,-49,205.64,204.82
961M富邦木柵,14,64,-50,206.57,203.36
1233彰銀台中,8,58,-50,203.0,205.4
9624富邦竹北,36,88,-52,206.85,204.44
703B致和崇德,7,59,-52,204.07,204.62
700S兆豐大同,2,54,-52,207.5,202.86
815B台新台中,69,122,-53,204.87,205.08
779z國票博愛,1,54,-53,207.48,203.21
9623富邦台北,71,126,-55,203.48,205.5
9134群益開元,12,67,-55,203.68,204.41
815A台新高雄,193,251,-58,204.22,204.83
9665富邦桃園,38,96,-58,205.39,205.29
983i元大大雅,23,81,-58,204.94,205.56
601d?亞鑫豐,6,65,-59,206.59,205.47
981i元大西螺,8,72,-64,203.51,202.32
9647富邦新竹,15,80,-65,205.24,205.96
538W第一華江,9,74,-65,202.93,206.27
585g統一平鎮,4,69,-65,204.59,204.21
9208凱基桃園,21,90,-69,203.52,205.4
8882國泰台中,88,158,-70,204.43,205.0
9676富邦仁愛,43,117,-74,204.72,205.7
9661富邦新店,27,102,-75,202.57,202.71
1360港麥格理,0,77,-77,,203.95
9658富邦建國,24,102,-78,205.63,205.57
9258凱基羅東,2,87,-85,205.5,203.49
8883國泰松江,39,130,-91,205.05,205.79
9834元大中壢,52,164,-112,202.91,205.42
888K國泰板橋,79,211,-132,204.27,204.93
9302華南台中,6,141,-135,204.41,206.99
9857元大蘆洲,43,181,-138,206.41,202.98
9A9s永豐彰化,4,152,-148,205.12,205.39
9238凱基士林,23,184,-161,202.87,205.67
8560新光,272,434,-162,204.33,204.98
1040臺銀,48,231,-183,201.85,205.81
8960上海匯豐,4,200,-196,207.0,207.34
8888國泰敦南,431,669,-238,204.65,205.12
700P兆豐南京,56,329,-273,204.64,204.58
9268凱基台北,1989,2475,-486,205.0,205.1
1590花旗環球,62,555,-493,205.41,204.03
9600富邦,285,818,-533,206.91,205.18
5850統一,325,1094,-769,205.24,205.65
